City,Airport,IATA Siglum,URL,Latitude,Longitude
Iceland,Vopnafjordur Airport,VPN/BIVO,https://www.flightradar24.com/data/airports/vpn,65.720551,-14.8505
Poland,Poznan Lawica Airport,POZ/EPPO,https://www.flightradar24.com/data/airports/poz,52.421028,16.826321
Ireland,Cork Airport,ORK/EICK,https://www.flightradar24.com/data/airports/ork,51.841381,-8.49111
Ireland,Donegal Airport,CFN/EIDL,https://www.flightradar24.com/data/airports/cfn,55.044189,-8.341
Ireland,Dublin Airport,DUB/EIDW,https://www.flightradar24.com/data/airports/dub,53.421379,-6.27
Ireland,Kerry Airport,KIR/EIKY,https://www.flightradar24.com/data/airports/kir,52.18087,-9.52378
Ireland,Knock Ireland West Airport,NOC/EIKN,https://www.flightradar24.com/data/airports/noc,53.91029,-8.81849
Poland,Radom Airport,RDO/EPRA,https://www.flightradar24.com/data/airports/rdo,51.389168,21.213612
Poland,Rzeszow Jasionka Airport,RZE/EPRZ,https://www.flightradar24.com/data/airports/rze,50.109951,22.018999
Poland,Szczecin Goleniow Airport,SZZ/EPSC,https://www.flightradar24.com/data/airports/szz,53.584728,14.9022
Poland,Warsaw Modlin Airport,WMI/EPMO,https://www.flightradar24.com/data/airports/wmi,52.451111,20.651667
Poland,Warsaw Chopin Airport,WAW/EPWA,https://www.flightradar24.com/data/airports/waw,52.165749,20.967119
Poland,Wroclaw Copernicus Airport,WRO/EPWR,https://www.flightradar24.com/data/airports/wro,51.10268,16.88583
Poland,Zielona Gora Babimost Airport,IEG/EPZG,https://www.flightradar24.com/data/airports/ieg,52.138512,15.79855
Gibraltar,Gibraltar Airport,GIB/LXGB,https://www.flightradar24.com/data/airports/gib,36.151211,-5.34966
Ireland,Shannon Airport,SNN/EINN,https://www.flightradar24.com/data/airports/snn,52.701969,-8.92481
Ireland,Sligo Airport,SXL/EISG,https://www.flightradar24.com/data/airports/sxl,54.280209,-8.5992
Ireland,Waterford Airport,WAT/EIWF,https://www.flightradar24.com/data/airports/wat,52.187199,-7.08696
Dominican Republic,Barahona Maria Montez International Airport,BRX/MDBH,https://www.flightradar24.com/data/airports/brx,18.251459,-71.120399
Dominican Republic,La Romana International Airport,LRM/MDLR,https://www.flightradar24.com/data/airports/lrm,18.45071,-68.911797
Dominican Republic,Puerto Plata Gregorio Luperon International Airport,POP/MDPP,https://www.flightradar24.com/data/airports/pop,19.7579,-70.57
Dominican Republic,Punta Cana International Airport,PUJ/MDPC,https://www.flightradar24.com/data/airports/puj,18.56736,-68.363403
Dominican Republic,Samana El Catey International Airport,AZS/MDCY,https://www.flightradar24.com/data/airports/azs,19.267,-69.741997
Dominican Republic,Santiago de los Caballeros Cibao International Airport,STI/MDST,https://www.flightradar24.com/data/airports/sti,19.40609,-70.604599
Dominican Republic,Santo Domingo Las Americas International Airport,SDQ/MDSD,https://www.flightradar24.com/data/airports/sdq,18.429661,-69.6689
Dominican Republic,Santo Domingo La Isabela International Airport,JBQ/MDJB,https://www.flightradar24.com/data/airports/jbq,18.575556,-69.981392
Tunisia,Djerba Zarzis International Airport,DJE/DTTJ,https://www.flightradar24.com/data/airports/dje,33.875031,10.77546
Tunisia,Enfidha – Hammamet International Airport,NBE/DTNH,https://www.flightradar24.com/data/airports/nbe,36.091946,10.413889
Tunisia,Gabes Matmata International Airport,GAE/DTTG,https://www.flightradar24.com/data/airports/gae,33.734165,9.921366
Tunisia,Monastir Habib Bourguiba International Airport,MIR/DTMB,https://www.flightradar24.com/data/airports/mir,35.758049,10.75472
Tunisia,Sfax–Thyna International Airport,SFA/DTTX,https://www.flightradar24.com/data/airports/sfa,34.717949,10.69097
Tunisia,Tabarka Ain Draham Airport,TBJ/DTKA,https://www.flightradar24.com/data/airports/tbj,36.98,8.876944
Tunisia,Tozeur Nefta International Airport,TOE/DTTZ,https://www.flightradar24.com/data/airports/toe,33.93972,8.110556
Tunisia,Tunis Carthage International Airport,TUN/DTTA,https://www.flightradar24.com/data/airports/tun,36.851028,10.22721
